item_name,true_label,pred_label
شرائط اختبار قياس السكر كونتور نكست,Home Diagnostics,Health Treatments/Aids
المفكات من شركة ستانلي,Tools/Equipment,Tools/Equipment
زادانا بذور الحنطة السوداء عضوي حب كامل 500 جرام,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Oils/Fats Edible
رينى بنكهة النعناع 48 قرص,Pharmaceutical Drugs,Health Treatments/Aids
Anesthesia Masks,Medical Devices,Medical Devices
TurkelÃƒâ€šÃ‚â„¢ Paracentesis Procedure Tray with Safety Components,Medical Devices,Medical Devices
Royal Frozen Tender Chicken Breast 1 kg,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
بينفيتال زيت السمك لتحسين صحة الفرو للقطط و الكلاب 200 ملل,Veterinary Healthcare,Pet Healthcare
لولو بذور خردل 200 جم,Seasonings/Preservatives/Extracts,Oils/Fats Edible
جاك اند جونز سراويل داخلية للرجال من اوليفر,Underwear,Underwear
Manal Canned Pineapple 565 g,Prepared/Preserved Foods,Fruits - Unprepared/Unprocessed (Shelf Stable)
Green's Gelatine 50 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
Gardein Ultimate Plant-Based Chick'n Tenders,Meat/Fish/Seafood Substitutes,Meat/Fish/Seafood Substitutes
"قطع الفطر والجذع من كاليفورنيا غاردن، 425 غرام - عبوة من قطعة واحدة",Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
LuLu Garam Masala Whole 100 g,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts
إم تي سي برادة ستاند 2 صنبور - حار/بارد - أبيض - MTCWD-15595W,Major Domestic Appliances,Major Domestic Appliances
مشرط جراحي تكنوكت بدون يد كربون مقاس 11,Medical Devices,Medical Devices
Beurer Upper Arm Blood Pressure Monitor With Lcd Display - Bm-35,Home Diagnostics,Medical Devices
اليكدون وصلات اسلاك مقاومة للماء,General Electrical Hardware,Electrical Connection/Distribution
Cucumber Slices & Carrot Sticks,Fruits/Vegetables Fresh Cut,Vegetables - Unprepared/Unprocessed (Fresh)
LuLu Black Chick Peas 1 kg,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products
أمريكانا كريفز برجر فيليه الدجاج بنكهة الشواء 500 جم,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals
